exp,tissue,rep,file,s3,url,biosamples,strain,sexes,age,submitted,spikeins,depleted,genome_annotation,assembly,output_type,read_length,batch,lab,normalisation,system
ENCSR000BYU,spleen,1,ENCFF828PDL,https://encode-public.s3.amazonaws.com/2021/04/15/664c0337-ac8c-4b80-a96c-424e63a97f09/ENCFF828PDL.bigWig,https://www.encodeproject.org/files/ENCFF828PDL/@@download/ENCFF828PDL.bigWig,ENCBS299ENC;ENCBS300ENC,C57BL/6,unknown,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,immune
ENCSR000BYU,spleen,2,ENCFF401NFX,https://encode-public.s3.amazonaws.com/2021/04/15/17285c3c-b25a-4aad-b90d-956758055ef4/ENCFF401NFX.bigWig,https://www.encodeproject.org/files/ENCFF401NFX/@@download/ENCFF401NFX.bigWig,ENCBS299ENC;ENCBS300ENC,C57BL/6,unknown,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,immune
ENCSR000BZE,stomach,1,ENCFF764FGD,https://encode-public.s3.amazonaws.com/2021/04/15/8b7e5008-9e17-420f-a8b6-45202d99a009/ENCFF764FGD.bigWig,https://www.encodeproject.org/files/ENCFF764FGD/@@download/ENCFF764FGD.bigWig,ENCBS302ENC;ENCBS303ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BZE,stomach,2,ENCFF148NLE,https://encode-public.s3.amazonaws.com/2021/04/15/128b57da-3877-4fa1-9092-ba067d30d826/ENCFF148NLE.bigWig,https://www.encodeproject.org/files/ENCFF148NLE/@@download/ENCFF148NLE.bigWig,ENCBS302ENC;ENCBS303ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BZF,subcutaneous adipose tissue,1,ENCFF811XDE,https://encode-public.s3.amazonaws.com/2021/04/15/c526dab6-918d-4871-92b0-937f5206b80b/ENCFF811XDE.bigWig,https://www.encodeproject.org/files/ENCFF811XDE/@@download/ENCFF811XDE.bigWig,ENCBS304ENC;ENCBS305ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,adipose
ENCSR000BZF,subcutaneous adipose tissue,2,ENCFF842RAN,https://encode-public.s3.amazonaws.com/2021/04/15/785279d3-9aee-4d5c-84d2-2101d29554ac/ENCFF842RAN.bigWig,https://www.encodeproject.org/files/ENCFF842RAN/@@download/ENCFF842RAN.bigWig,ENCBS304ENC;ENCBS305ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,adipose
ENCSR000BYW,testis,1,ENCFF216HBX,https://encode-public.s3.amazonaws.com/2021/04/15/f0d3d585-5efc-48ff-8d4a-968f30448a0f/ENCFF216HBX.bigWig,https://www.encodeproject.org/files/ENCFF216HBX/@@download/ENCFF216HBX.bigWig,ENCBS306ENC;ENCBS307ENC,C57BL/6,male,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,reproductive
ENCSR000BYW,testis,2,ENCFF804EKC,https://encode-public.s3.amazonaws.com/2021/04/15/cb126493-3476-4358-86e0-a36947a1e508/ENCFF804EKC.bigWig,https://www.encodeproject.org/files/ENCFF804EKC/@@download/ENCFF804EKC.bigWig,ENCBS306ENC;ENCBS307ENC,C57BL/6,male,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,reproductive
ENCSR000BYV,thymus,1,ENCFF978UIY,https://encode-public.s3.amazonaws.com/2021/04/15/a1cd3b98-6c6e-4491-bfa8-a93a9e51e003/ENCFF978UIY.bigWig,https://www.encodeproject.org/files/ENCFF978UIY/@@download/ENCFF978UIY.bigWig,ENCBS308ENC;ENCBS309ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,immune
ENCSR000BYV,thymus,2,ENCFF900YZM,https://encode-public.s3.amazonaws.com/2021/04/15/60c59b40-0ee2-478c-a298-c31891e4800f/ENCFF900YZM.bigWig,https://www.encodeproject.org/files/ENCFF900YZM/@@download/ENCFF900YZM.bigWig,ENCBS308ENC;ENCBS309ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,immune
